Lannister,Assault Veteran,-,1,Infantry,Order: Hold the Line,"**If this unit began the turn engaged:**
This unit's Melee Attacks gain +1 to Hit and roll +2 dice this turn.",SIF001/SIF001/SIF202/SIFKS001/SIFPR10,20101
Lannister,Guard Captain,-,1,Infantry,Order: At any cost,"**If this unit would fail a Panic Test:**
Kill 1 model in this unit to automatically pass this Panic Test.",SIF001/SIF001/SIF201/SIFKS001,20102
Lannister,"Sandor Clegane, The Hound",Sandor Clegane,2,Infantry,Affiliation: House Clegane / Cut Them Down!,"This unit counts as a **House Clegane** unit. / When an enemy engaged with this unit fails a Panic Test, they suffer 2 additional Wounds.",SIF209/SIFKS020,20103
Lannister,"Tywin Lannister, Lord of Casterly Rock",Tywin Lannister,C,Infantry,Intimidating / Lannister Supremacy,"When this unit activates, 1 enemy within Long Range becomes Weakened. / If this unit is attacked and passes its Panic Test, the attacker must make a Panic Test with -2 to their roll.",SIF209,20104
Lannister,"Tyrion Lannister, Halfman",Tyrion Lannister,C,Infantry,Order: Superior Tactician,"**When an opponent plays a Tactics card:**
Roll a die. On a 5+, cancel the effect of that Tactics card. You may discard a Tactics card to re-roll this die *(this may be repeated).*",SIF209,20105
Lannister,"Barristan Selmy, Lord Commander of The Kingsguard",Barristan Selmy,3,Infantry,Duty To The Crown / Stalwart,"While you control [CROWN], each time this unit passes a Morale Test, it may restore up to D3 Wounds. / This unit gains +2 to Morale Test rolls.",SIF210,20106
Lannister,"Jaime Lannister, Kingsguard",Jaime Lannister,2,Infantry,[M]Expert Duelist,"Each time this unit makes a Melee Attack against an enemy Infantry unit, it deals 1 additional Wound. If there is an Attachment in that unit, you may instead roll a die. On a 3+, kill that Attachment *(moving 1 model from the back of the unit to fill its slot)*.",SIF210,20107
Lannister,"Mandon Moore, Kingsguard",Mandon Moore,2,Infantry,[M]Dominance Of The Crown,"While you control [CROWN], this unit's Melee Attacks gain +1 to Hit, and when attacking enemies with fewer remaining ranks than this unit, also gains Vicious *(Defender suffers -2 to their Panic Test)*.",SIF210,20108
Lannister,"Meryn Trant, Kingsguard",Meryn Trant,1,Infantry,Intimidation Of The Crown,"While you control [CROWN], each time this unit performs an action, 1 enemy within Long Range gains 1 Condition token *(of your choice)*.",SIF210,20109
Lannister,"Arys Oakheart, Kingsguard",Arys Oakheart,1,Infantry,Protection Of The Crown,"While you control [CROWN], enemies suffer -1 to Hit when attacking this unit with melee.",SIF210,20110
Lannister,"Boros Blount, Kingsguard",Boros Blount,2,Infantry,Vengeance Of The Crown,"While you control [CROWN], each time this unit is attacked with Melee, after that Attack has been completed, the attacker suffers D3 Wounds.",SIF210,20111
Lannister,"Preston Greenfield, Kingsguard",Preston Greenfield,1,Infantry,Prosperity Of The Crown,"While you control [CROWN], each time this unit performs an action, you may draw 1 Tactics card.",SIF210,20112
Lannister,Champion of the Faith,-,1,Infantry,Order: Stand Resolute,"**When this unit passes a Morale Test:**
All enemies engaged with this unit become Vulnerable.",SIF207/SIFKS019,20113
Lannister,"Gregor Clegane, Lord Tywin's Mad Dog",Gregor Clegane,3,Infantry,[M]Inhuman Strength / Uncontrolled Rage,"This unit's Melee Attacks roll +2 dice and gain Sundering *(Defenders suffer -1 to their Defense Save rolls)*. / When this unit activates, if it could declare a Charge, it must make a Morale Test. On a failure, it must declare a Charge action, but automatically counts as having rolled a 6 for its Charge Distance roll.",SIF001,20114
Lannister,"Jaime Lannister, The Kingslayer",Jaime Lannister,C,Infantry,Order: Counterattack / Order: Kingslayer's Prowess,"**When this unit is attacked with melee, after Attack dice are rolled:**
For each blocked Hit, the attacker suffers 1 automatic Hit. / **When a friendly unit within Short Range is attacked with melee, after Attack Dice are rolled:**
That unit gains +1 to Defense Save Rolls for this attack.",SIF001,20115
Lannister,"Gregor Clegane, The Mountain",Gregor Clegane,C,Infantry,[M]Unstoppable Fury / Affiliation: House Clegane,"• Charged enemies become Panicked.
• When this unit makes a Melee Attack, it deals D3 additional Wounds. / This unit counts as a **House Clegane** unit.",SIF001,20116
Lannister,"Jaime Lannister, The Young Lion",Jaime Lannister,2,Infantry,[M]Boldness and Courage,"When this unit makes a melee attack, it is always treated as having 1 additional rank. If it already has full ranks, it rolls +2 attack dice.",SIF001,20117
Lannister,"Gregor Clegane, Mounted Behemoth",Gregor Clegane,3,Cavalry,Order: Overrun / [M]Unstoppable Fury,"**When this unit destroys an enemy:**
Instead of Maneuvering, this unit may pivot and make a free Charge action. / • Charged enemies become Panicked.
• When this unit makes a Melee Attack, it deals D3 additional Wounds.",SIFKS001,20118
Lannister,"Tyrion Lannister, The Giant of Lannister",Tyrion Lannister,3,Infantry,Order: Adaptive Planning / Order: Counterstrategy,"**While this unit is engaged:**
You may expend a Condition token on an enemy engaged with this unit as if it were any other Condition token. / **When an enemy within Short Range uses an Order or is targeted by a Tactics card:**
Roll a die. On a 3+, cancel that Order/Tactics card.",SIF209,20120
Lannister,"Joffrey Baratheon, First of His Name",Joffrey Lannister,C,Infantry,The King is Dead!,"This model is always the last model destroyed from this unit. When this model is destroyed, your opponent gains +2 additional Victory Points and each of your Combat Units become Panicked.",SIF210,20121
Stark,"Robb Stark, The Wolf Lord",Robb Stark,C,Infantry,[M]Order: Wolf's Cunning,"**When an enemy within Long Range declares a Charge:**
That enemy suffers a **Disorderly Charge**.",SIF001/SIFKS018,20201
Stark,"Greatjon Umber, Lord of Last Hearth",Greatjon Umber,C,Infantry,Order: Umber Rage / Affiliation: House Umber,"**When this unit makes a Melee Attack, before Attack dice are rolled:**
The defender becomes Panicked and Vulnerable. This unit suffers D3 Wounds after this attack is completed. / This unit counts as a **House Umber** unit.",SIF001,20202
Stark,Umber Champion,-,1,Infantry,[M]Fury Unleashed,"When this unit makes a Melee Attack, it may roll +2 Attack Die and gain Vicious *(Defenders suffer -2 to their Panic Test)*.
If it does, after this Attack is completed, unless this unit has only 1 remaining rank, it suffers D3 Wounds.",SIF001/SIF103,20203
Stark,Sworn Sword Captain,-,1,Infantry,Order: Martial Training,"**When this unit makes a Melee Attack, after Attack dice are rolled:**
The defender becomes Vulnerable.",SIF001/SIF001/SIF101/SIFKS001/SIFPR10,20204
Stark,"Greatjon Umber, Fierce Bannerman",Greatjon Umber,3,Infantry,Order: Fury of House Umber - Onslaught,"**When this unit makes a Melee Attack, after Attack dice are rolled:**
This unit may re-roll any dice.
Hits from rolls of 6 do not allow Defense Saves. This unit suffers D3 Wounds after this attack is completed. / If this unit is targeted by [SWORDS], it may make a free Charge action instead of an Attack action.",SIF001,20205
Stark,"Robb Stark, The Young Wolf",Robb Stark,3,Infantry,Enhanced Mobility - Rapid Assault,"This unit gains +1 [MOVEMENT] and may always pivot before Marching. / If targeted by [HORSE], this unit may make a free Charge action instead of a Maneuver/Retreat action.",SIF001,20206
Stark,"Bran and Hodor, Protector and Ward","Bran Stark, Hodor",3,Infantry,Order: Bran's Skinchanging / Hodor!!!,"**When this unit, or Summer, makes a Melee Attack:**
The defender suffers D3 additional automatic Hits. / Once per game, when this unit is successfully Charged, the attacker automatically suffer a Disorderly Charge and rolls -2 Attack dice. Bran's unit may no longer betargeted by Bran's Skinchanging.",SIF109,20207
Stark,"Brynden Tully, The Blackfish",Brynden Tully,C,Infantry,Affiliation: House Tully / Blackfish's Resolve / Stalwart,"This unit counts as a **House Tully** unit. / Each time this unit passes a Morale Test, it may restore 1 Wound. / This unit gains +2 to Morale Test rolls.",SIF109,20208
Stark,"Brynden Tully, Unyielding Knight",Brynden Tully,2,Infantry,Order: Hold The Line! / Stalwart,"**If this unit began the turn engaged:**
This unit's Melee Attacks gain +1 to Hit and roll +2 dice. / This unit gains +2 to Morale Test rolls.",SIF109,20209
