Lannister,Lannister Basic Deck,Hear me Roar!,"**When an enemy makes
a Panic Test:**

That enemy suffers -1 to their
roll and an additional -1 for
each destroyed rank.

If you control [CROWN], they
also become Panicked.",40101
Lannister,Lannister Basic Deck,"Fealty to
The Crown","**When an enemy fails a Panic Test:**

For each model removed by
this test, restore 1 Wound
to a friendly Infantry unit in
Short Range of that enemy.

If you control [CROWN], that unit may
restore up to 2 additional Wounds.",40102
Lannister,Lannister Basic Deck,"Wealth
of The Rock","**When a friendly Combat
Unit is attacked, after
Attack dice are rolled:**

That unit gains +1 to
Defense Save rolls this attack.

If you control [MONEY], also
automatically block D3 Hits.",40103
Lannister,Lannister Basic Deck,"Intrigue and
Subterfuge","**When an enemy
Non-Combat Unit activates:**

That NCU loses all Abilities
until the end of the round.

If you control [CROWN], 1 opponent must
also randomly discard 1 Tactics card.",40104
Lannister,Lannister Basic Deck,Paid Mutiny,"**When an enemy Combat
Unit activates:**

That unit must pass a Morale Test
or its Attachments loses all Abilities
until the end of the round, and
that unit suffers D3 Wounds.

If you control [MONEY], they suffer -2
to their roll and, if they fail, suffer
3 Wounds instead of rolling.",40105
Lannister,Lannister Basic Deck,"A Lannister
Pays his Debts","**When a friendly unit is destroyed:**

1 enemy becomes Panicked and
1 enemy becomes Vulnerable
*(you may select the same enemy)*.

If you control [MONEY], also return
1 other discarded Tactics
card to your hand.",40106
Lannister,Lannister Basic Deck,Counterplot,"**When an opponent plays
a Tactics Card:**

Roll a die: On a 3+, cancel the
effect of that Tactics card.

If you control [CROWN], you may
re-roll this die.",40107
Lannister,"Gregor Clegane, The Mountain","Fury of
The Mountain","**When a friendly unit
makes a Melee Attack:**

This attack gains Critical Blow
*(Rolls of 6 cause 2 Hits).*

If this is a **House Clegane**
unit, Critical Blow instead
triggers on rolls of 5+.",40108
Lannister,"Gregor Clegane, The Mountain","Orders
to Destroy","**When you claim any zone
on the Tactics Board:**

Replace that zone's effect with:

*1 friendly unit may make a free Melee
Attack action and rolls +2 dice.

If this is a **House Clegane** unit, it
may instead make a free Charge
action and rolls +2 dice.*",40109
Lannister,"Gregor Clegane, The Mountain",Overrun,"**When a friendly unit
destroys an enemy:**

Instead of Maneuvering,
that unit may pivot and then
make a Charge action.

If this is a **House Clegane** unit, it
gains +2 to its Charge Distance roll.",40110
Lannister,"Tyrion Lannister, Halfman","Adaptive
Tactics","**Start of any turn:**

Place this card at the bottom of
your Tactics Deck and return 1
discarded Tactics card to your hand.
If you control [LETTER], 1 opponent must
also randomly discard 1 Tactics card.",40111
Lannister,"Tyrion Lannister, Halfman","Delay
Orders","**When an enemy would
activate a Combat Unit:**

That enemy must choose a different
Combat Unit to activate *(if able)*.

If you control [LETTER], you may choose
the unit that must activate instead.",40112
Lannister,"Tyrion Lannister, Halfman",Cunning Ploy,"**When a friendly
Combat Unit activates:**

Instead of this unit performing
an action, 1 previously activated
Combat Unit may perform
1 action instead *(this unit still
gains an Activation token)*.

If you control [LETTER], opponents may
not play Tactics cards this turn.",40113
Lannister,"Tywin Lannister, Lord of Casterly Rock","Exploit
Weakness","**When an enemy unit attacks,
before attack dice are rolled:**

For each attack die roll of a 1, that
enemy suffers 1 automatic Wound.

If you expend a Weakened token
to force the enemy to re-roll, they
also suffer +2 additional Wounds.",40114
Lannister,"Tywin Lannister, Lord of Casterly Rock","The Lion's
Wrath","**Start of a friendly turn:**

1 enemy Combat Unit
becomes Weakened.

Until the end of the round,
all Weakened enemies suffer
-1[MOVEMENT] and trigger a **Disorderly
Charge** on rolls of 1 or 2.",40115
